,Timestamp,Acc_X,Acc_Y,Acc_Z,AngV_X,AngV_Y,AngV_Z,Mag_X,Mag_Y,Mag_Z,Orin_X,Orin_Y,Orin_Z,Activity
30,2021-10-12 16:48:23.544,-0.502954,5.033433,7.958201,-0.218587,0.462821,1.627056,27.180393,2.71347,4.050911,-105.00074,-33.44131,-3.890379,drop_and_pickup
31,2021-10-12 16:48:23.594,-0.266895,4.888834,7.809261,-0.283484,0.357156,1.748388,27.075668,0.153099,4.860744,-110.833231,-32.250592,-5.853225,drop_and_pickup
32,2021-10-12 16:48:23.644,0.603246,4.887187,7.414531,-0.492838,0.091072,1.665972,26.773842,-2.476734,5.521327,-116.222549,-30.317226,-8.269401,drop_and_pickup
33,2021-10-12 16:48:23.694,1.351689,4.35205,7.375313,-0.858852,0.084559,1.757522,26.33427,-5.011475,5.547127,-121.403528,-27.2869,-10.476334,drop_and_pickup
34,2021-10-12 16:48:23.744,1.062491,3.789969,8.395442,-1.035377,-0.134899,1.562098,25.710876,-7.657196,5.429486,-125.700938,-23.480937,-12.675733,drop_and_pickup
35,2021-10-12 16:48:23.794,2.077979,3.011138,8.591085,-1.006194,0.276787,1.520847,25.061005,-10.167316,5.073973,-129.527362,-19.699183,-13.539119,drop_and_pickup
36,2021-10-12 16:48:23.844,1.927991,2.206561,7.701934,-0.576521,1.199622,1.519703,23.928108,-12.413269,5.470025,-133.516892,-16.789472,-12.00424,drop_and_pickup
37,2021-10-12 16:48:23.894,1.716181,2.099684,5.784571,-0.675726,0.828734,1.329709,22.463001,-14.538574,6.89644,-137.093779,-14.282398,-10.229095,drop_and_pickup
38,2021-10-12 16:48:23.943,0.881517,0.9619,0.42317,0.022091,-0.529029,1.226782,21.06576,-16.31752,7.774788,-140.711828,-13.364903,-12.080286,drop_and_pickup
39,2021-10-12 16:48:23.993,0.034428,0.180824,-0.914897,-0.133731,0.257332,1.773202,19.528099,-18.033428,7.999623,-145.477685,-11.901488,-13.128938,drop_and_pickup
40,2021-10-12 16:48:24.043,0.742157,1.17326,-1.218316,-10.516619,6.090251,3.108501,16.557655,-20.571011,9.363916,-149.36931,4.407107,3.345369,drop_and_pickup
41,2021-10-12 16:48:24.093,-7.331005,-4.131259,40.039787,1.846006,-3.747073,-0.520968,12.132881,-23.368334,10.159968,-146.945891,3.866736,8.114747,drop_and_pickup
42,2021-10-12 16:48:24.143,-0.628244,-0.09595,-2.008673,-0.03987,1.893113,-0.473962,13.654936,-22.485813,9.893805,-145.477526,3.666401,9.960878,drop_and_pickup
43,2021-10-12 16:48:24.193,-1.002914,0.098795,2.680626,-0.123027,1.589797,-0.235523,12.820101,-22.105145,12.12673,-144.805955,4.285763,15.455039,drop_and_pickup
44,2021-10-12 16:48:24.243,-5.48669,-0.159568,9.604178,-0.011174,-1.556099,-0.213661,13.662424,-22.252844,10.625136,-144.608446,5.892664,6.434468,drop_and_pickup
45,2021-10-12 16:48:24.293,-0.94229,-0.688568,11.21438,-0.588109,1.79866,-0.058487,14.301168,-22.124474,9.345907,-144.680089,6.866798,11.38999,drop_and_pickup
46,2021-10-12 16:48:24.343,-2.011667,-2.376458,8.818013,-0.033833,-0.895235,-0.039783,13.87219,-22.369389,9.578977,-144.607758,7.628112,9.892377,drop_and_pickup
47,2021-10-12 16:48:24.393,-0.903222,-1.294358,8.419841,0.772947,-0.991781,0.052407,14.40575,-22.268173,9.203443,-144.380582,5.665902,6.975758,drop_and_pickup
48,2021-10-12 16:48:24.443,-1.22161,-0.996478,9.386531,-0.664714,1.648329,-0.107565,14.476377,-22.175819,9.251234,-144.308593,7.020138,10.478039,drop_and_pickup
49,2021-10-12 16:48:24.493,-2.712659,-1.600023,10.895243,0.026528,0.035729,-0.02765,13.934914,-22.339415,9.827894,-144.254034,7.589374,11.719716,drop_and_pickup
50,2021-10-12 16:48:24.543,-1.97185,-0.566123,8.13663,-0.041289,-0.018559,-0.014739,14.030348,-22.298073,9.975478,-144.0804,7.57293,11.400935,drop_and_pickup
51,2021-10-12 16:48:24.593,-1.518742,-0.308958,13.989159,0.646841,-3.133493,0.016121,14.067064,-22.108702,9.70327,-144.240943,6.569477,6.890028,drop_and_pickup
52,2021-10-12 16:48:24.643,0.429607,-1.078358,11.158396,0.416209,-0.289464,0.79428,14.748011,-22.22662,8.543243,-145.991426,5.07937,4.617555,drop_and_pickup
53,2021-10-12 16:48:24.693,-0.530197,-0.190853,13.407768,1.403435,-1.2656,2.41518,13.384629,-23.152279,8.671846,-151.729139,1.609654,2.038665,drop_and_pickup
